CG_gene	ident	ECOLI_gene
cg1226	0.01	NaN
cg1227	0.01	NaN
cg1228	0.01	NaN
cg1229	0.01	NaN
cg1230	0.01	NaN
cg1231	0.01	NaN
cg1232	0.01	NaN
cg1233	0.01	NaN
cg1234	0.01	NaN
cg1236	0.01	NaN
cg1237	0.01	NaN
cg1238	0.01	NaN
cg1239	0.01	NaN
cg1240	0.01	NaN
cg4004	0.01	NaN
cg1241	0.01	NaN
cg1242	0.01	NaN
cg1243	0.01	NaN
cg1244	0.01	NaN
cg1245	0.01	NaN
cg1246	0.01	NaN
cg1247	0.01	NaN
cg1248	0.01	NaN
cg1249	0.01	NaN
cg1250	0.01	NaN
cg1251	0.01	NaN
cg1252	0.01	NaN
cg1253	0.01	NaN
cg1254	0.01	NaN
cg1255	0.01	NaN
cg1256	0.01	NaN
cg1257	0.01	NaN
cg1259	0.01	NaN
cg1260	0.01	NaN
cg1261	0.01	NaN
cg1262	0.01	NaN
cg1263	0.01	NaN
cg1264	0.01	NaN
cg1265	0.01	NaN
cg1266	0.01	NaN
cg1267	0.01	NaN
cg1268	0.01	NaN
cg1269	0.01	NaN
cg1270	0.01	NaN
cg1271	0.01	NaN
cg1272	0.01	NaN
cg1273	0.01	NaN
cg1274	0.01	NaN
cg1275	0.01	NaN
cg1276	0.01	NaN
cg1277	0.01	NaN
cg1278	0.01	NaN
cg1279	0.01	NaN
cg1280	0.01	NaN
cg1281	0.01	NaN
cg1282	0.01	NaN
cg1283	0.01	NaN
cg1284	0.01	NaN
cg1285	0.01	NaN
cg1286	0.01	NaN
cg1287	0.01	NaN
cg1288	0.01	NaN
cg1289	0.01	NaN
cg1290	0.01	NaN
cg1291	0.01	NaN
cg1292	0.01	NaN
cg1293	0.01	NaN
cg1294	0.01	NaN
cg1295	0.01	NaN
cg1296	0.01	NaN
cg1298	0.01	NaN
cg1299	0.01	NaN
cg1300	0.01	NaN
cg1301	0.01	NaN
cg1302	0.01	NaN
cg1303	0.01	NaN
cg1304	0.01	NaN
cg1305	0.01	NaN
cg1307	0.01	NaN
cg1308	0.01	NaN
cg1309	0.01	NaN
cg1310	0.01	NaN
cg1311	0.01	NaN
cg1312	0.01	NaN
cg1313	0.01	NaN
cg1314	0.01	NaN
cg1316	0.01	NaN
cg1317	0.01	NaN
cg1318	0.01	NaN
cg1319	0.01	NaN
cg1320	0.01	NaN
cg1321	0.01	NaN
cg1322	0.01	NaN
cg1324	0.01	NaN
cg1325	0.01	NaN
cg1326	0.01	NaN
cg1327	0.01	NaN
cg1328	0.01	NaN
cg1329	0.01	NaN
cg1330	0.01	NaN
cg1332	0.01	NaN
cg1333	0.01	NaN
cg1334	0.01	NaN
cg1335	0.01	NaN
cg1336	0.01	NaN
cg1337	0.01	NaN
cg1338	0.01	NaN
cg1340	0.01	NaN
cg1341	0.01	NaN
cg1342	0.01	NaN
cg1343	0.01	NaN
cg1344	0.01	NaN
cg1345	0.01	NaN
cg1346	0.01	NaN
cg1347	0.01	NaN
cg1348	0.01	NaN
cg1349	0.01	NaN
cg1350	0.01	NaN
cg1351	0.01	NaN
cg1352	0.01	NaN
cg1353	0.01	NaN
cg1354	0.01	NaN
cg1355	0.01	NaN
cg1356	0.01	NaN
cg1358	0.01	NaN
cg1359	0.01	NaN
cg1360	0.01	NaN
cg1361	0.01	NaN
cg1362	0.01	NaN
cg1363	0.01	NaN
cg1364	0.01	NaN
cg1365	0.01	NaN
cg1366	0.01	NaN
cg1367	0.01	NaN
cg1368	0.01	NaN
cg1369	0.01	NaN
cg1370	0.01	NaN
cg1371	0.01	NaN
cg1372	0.01	NaN
cg1373	0.01	NaN
cg1374	0.01	NaN
cg1375	0.01	NaN
cg1376	0.01	NaN
cg1377	0.01	NaN
cg1379	0.01	NaN
cg1380	0.01	NaN
cg1381	0.01	NaN
cg1382	0.01	NaN
cg1383	0.01	NaN
cg1384	0.01	NaN
cg1385	0.01	NaN
cg1386	0.01	NaN
cg1387	0.01	NaN
cg1388	0.01	NaN
cg1389	0.01	NaN
cg1391	0.01	NaN
cg1392	0.01	NaN
cg1393	0.01	NaN
cg1394	0.01	NaN
cg1395	0.01	NaN
cg1396	0.01	NaN
cg1397	0.01	NaN
cg1398	0.01	NaN
cg1399	0.01	NaN
cg1400	0.01	NaN
cg1401	0.01	NaN
cg1402	0.01	NaN
cg1403	0.01	NaN
cg1404	0.01	NaN
cg1405	0.01	NaN
cg1408	0.01	NaN
cg1409	0.01	NaN
cg1410	0.01	NaN
cg1411	0.01	NaN
cg1412	0.01	NaN
cg1413	0.01	NaN
cg1414	0.01	NaN
cg1417	0.01	NaN
cg1418	0.01	NaN
cg1419	0.01	NaN
cg1420	0.01	NaN
cg1421	0.01	NaN
cg1423	0.01	NaN
cg1424	0.01	NaN
cg1425	0.01	NaN
cg1426	0.01	NaN
cg1427	0.01	NaN
cg1429	0.01	NaN
cg1431	0.01	NaN
cg1432	0.01	NaN
cg1433	0.01	NaN
cg1434	0.01	NaN
cg1435	0.01	NaN
cg1436	0.01	NaN
cg1437	0.01	NaN
cg1438	0.01	NaN
cg1440	0.01	NaN
cg1441	0.01	NaN
cg1442	0.01	NaN
cg1443	0.01	NaN
cg1444	0.01	NaN
cg1447	0.01	NaN
cg1448	0.01	NaN
cg1449	0.01	NaN
cg1451	0.01	NaN
cg1452	0.01	NaN
cg1453	0.01	NaN
cg1454	0.01	NaN
cg1456	0.01	NaN
cg1457	0.01	NaN
cg1458	0.01	NaN
cg1459	0.01	NaN
cg1462	0.01	NaN
cg1463	0.01	NaN
cg1464	0.01	NaN
cg1465	0.01	NaN
cg1466	0.01	NaN
cg1467	0.01	NaN
cg1468	0.01	NaN
cg1469	0.01	NaN
cg1471	0.01	NaN
cg1474	0.01	NaN
cg1475	0.01	NaN
cg1476	0.01	NaN
cg1478	0.01	NaN
cg1479	0.01	NaN
cg1481	0.01	NaN
cg1482	0.01	NaN
cg1483	0.01	NaN
cg1484	0.01	NaN
cg1485	0.01	NaN
cg1486	0.01	NaN
cg1487	0.01	NaN
cg1488	0.01	NaN
cg1490	0.01	NaN
cg1491	0.01	NaN
cg1492	0.01	NaN
cg1493	0.01	NaN
cg1494	0.01	NaN
cg1495	0.01	NaN
cg1496	0.01	NaN
cg1497	0.01	NaN
cg1498	0.01	NaN
cg1499	0.01	NaN
cg1500	0.01	NaN
cg1501	0.01	NaN
cg1502	0.01	NaN
cg1503	0.01	NaN
cg1504	0.01	NaN
cg1505	0.01	NaN
cg1506	0.01	NaN
cg1507	0.01	NaN
cg1508	0.01	NaN
cg1509	0.01	NaN
cg1510	0.01	NaN
cg1511	0.01	NaN
cg1512	0.01	NaN
cg1513	0.01	NaN
cg4005	0.01	NaN
cg1514	0.01	NaN
cg1515	0.01	NaN
cg1516	0.01	NaN
cg1517	0.01	NaN
cg4006	0.01	NaN
cg1518	0.01	NaN
cg1519	0.01	NaN
cg1520	0.01	NaN
cg1521	0.01	NaN
cg1522	0.01	NaN
cg1523	0.01	NaN
cg1524	0.01	NaN
cg1525	0.01	NaN
cg1526	0.01	NaN
cg1527	0.01	NaN
cg1528	0.01	NaN
cg1530	0.01	NaN
cg1531	0.01	NaN
cg1537	0.01	NaN
cg1538	0.01	NaN
cg1540	0.01	NaN
cg1541	0.01	NaN
cg1542	0.01	NaN
cg1543	0.01	NaN
cg1545	0.01	NaN
cg1546	0.01	NaN
cg1547	0.01	NaN
cg1548	0.01	NaN
cg1549	0.01	NaN
cg1550	0.01	NaN
cg1551	0.01	NaN
cg1552	0.01	NaN
cg1553	0.01	NaN
cg1555	0.01	NaN
cg1556	0.01	NaN
cg1559	0.01	NaN
cg1560	0.01	NaN
cg1562	0.01	NaN
cg1563	0.01	NaN
cg1564	0.01	NaN
cg1565	0.01	NaN
cg1566	0.01	NaN
cg1567	0.01	NaN
cg1568	0.01	NaN
cg1569	0.01	NaN
cg1570	0.01	NaN
cg1571	0.01	NaN
cg1572	0.01	NaN
cg1573	0.01	NaN
cg1574	0.01	NaN
cg1575	0.01	NaN
cg1577	0.01	NaN
cg1578	0.01	NaN
cg1579	0.01	NaN
cg1580	0.01	NaN
cg1581	0.01	NaN
cg1582	0.01	NaN
cg1583	0.01	NaN
cg1584	0.01	NaN
cg1585	0.01	NaN
cg1586	0.01	NaN
cg1588	0.01	NaN
cg1589	0.01	NaN
cg1590	0.01	NaN
cg1591	0.01	NaN
cg1592	0.01	NaN
cg1594	0.01	NaN
cg1595	0.01	NaN
cg1597	0.01	NaN
cg1598	0.01	NaN
cg1599	0.01	NaN
cg1600	0.01	NaN
cg1601	0.01	NaN
cg1602	0.01	NaN
cg1603	0.01	NaN
cg1604	0.01	NaN
cg1606	0.01	NaN
cg1607	0.01	NaN
cg1608	0.01	NaN
cg1609	0.01	NaN
cg1610	0.01	NaN
cg1611	0.01	NaN
cg1612	0.01	NaN
cg1613	0.01	NaN
cg1614	0.01	NaN
cg1615	0.01	NaN
cg1616	0.01	NaN
cg1617	0.01	NaN
cg1618	0.01	NaN
cg1619	0.01	NaN
cg1620	0.01	NaN
cg1621	0.01	NaN
cg1622	0.01	NaN
cg1623	0.01	NaN
cg1624	0.01	NaN
cg1625	0.01	NaN
cg1626	0.01	NaN
cg1628	0.01	NaN
cg1629	0.01	NaN
cg1630	0.01	NaN
cg1631	0.01	NaN
cg1632	0.01	NaN
cg1633	0.01	NaN
cg1635	0.01	NaN
cg1636	0.01	NaN
cg1638	0.01	NaN
cg1639	0.01	NaN
cg1640	0.01	NaN
cg1641	0.01	NaN
cg1642	0.01	NaN
cg1643	0.01	NaN
cg1644	0.01	NaN
cg1645	0.01	NaN
cg1646	0.01	NaN
cg1647	0.01	NaN
cg1648	0.01	NaN
cg1649	0.01	NaN
cg1650	0.01	NaN
cg1651	0.01	NaN
cg1652	0.01	NaN
cg1653	0.01	NaN
cg1654	0.01	NaN
cg1655	0.01	NaN
cg1656	0.01	NaN
cg1657	0.01	NaN
cg1658	0.01	NaN
cg1659	0.01	NaN
cg1660	0.01	NaN
cg1661	0.01	NaN
cg1662	0.01	NaN
cg1663	0.01	NaN
cg1664	0.01	NaN
cg1665	0.01	NaN
cg1668	0.01	NaN
cg1669	0.01	NaN
cg1670	0.01	NaN
cg1671	0.01	NaN
cg1672	0.01	NaN
cg1673	0.01	NaN
cg1675	0.01	NaN
cg1676	0.01	NaN
cg1677	0.01	NaN
cg1678	0.01	NaN
cg1680	0.01	NaN
cg1681	0.01	NaN
cg1682	0.01	NaN
cg1683	0.01	NaN
cg1684	0.01	NaN
cg1685	0.01	NaN
cg1686	0.01	NaN
cg1687	0.01	NaN
cg1688	0.01	NaN
cg1689	0.01	NaN
cg1690	0.01	NaN
cg1691	0.01	NaN
cg1692	0.01	NaN
cg1693	0.01	NaN
cg1694	0.01	NaN
cg1695	0.01	NaN
cg1696	0.01	NaN
cg1697	0.01	NaN
cg1698	0.01	NaN
cg1699	0.01	NaN
cg1700	0.01	NaN
cg1701	0.01	NaN
cg1702	0.01	NaN
cg1703	0.01	NaN
cg1704	0.01	NaN
cg1705	0.01	NaN
cg1706	0.01	NaN
cg1707	0.01	NaN
cg1708	0.01	NaN
cg1709	0.01	NaN
cg1710	0.01	NaN
cg1711	0.01	NaN
cg1712	0.01	NaN
cg1713	0.01	NaN
cg1714	0.01	NaN
cg1715	0.01	NaN
cg1716	0.01	NaN
cg1717	0.01	NaN
cg1718	0.01	NaN
cg1719	0.01	NaN
cg1720	0.01	NaN
cg1722	0.01	NaN
cg1724	0.01	NaN
cg1725	0.01	NaN
cg1726	0.01	NaN
cg1727	0.01	NaN
cg1728	0.01	NaN
cg1730	0.01	NaN
cg1731	0.01	NaN
cg1732	0.01	NaN
cg1733	0.01	NaN
cg1734	0.01	NaN
cg1735	0.01	NaN
cg1736	0.01	NaN
cg1737	0.01	NaN
cg1738	0.01	NaN
cg1739	0.01	NaN
cg1740	0.01	NaN
cg1741	0.01	NaN
cg1742	0.01	NaN
cg1743	0.01	NaN
cg1744	0.01	NaN
cg1745	0.01	NaN
cg1746	0.01	NaN
cg1748	0.01	NaN
cg1749	0.01	NaN
cg1750	0.01	NaN
cg1751	0.01	NaN
cg1752	0.01	NaN
cg1753	0.01	NaN
cg1754	0.01	NaN
cg1756	0.01	NaN
cg1757	0.01	NaN
cg1758	0.01	NaN
cg1759	0.01	NaN
cg1760	0.01	NaN
cg1761	0.01	NaN
cg1762	0.01	NaN
cg1763	0.01	NaN
cg1764	0.01	NaN
cg1765	0.01	NaN
cg1766	0.01	NaN
cg1767	0.01	NaN
cg1768	0.01	NaN
cg1769	0.01	NaN
cg1770	0.01	NaN
cg1771	0.01	NaN
cg1773	0.01	NaN
cg1774	0.92	AG613251.1
cg1776	0.01	NaN
cg1778	0.01	NaN
cg1779	0.01	NaN
cg1780	0.01	NaN
cg1781	0.01	NaN
cg1782	0.01	NaN
cg1783	0.01	NaN
cg1784	0.01	NaN
cg1785	0.01	NaN
cg1786	0.01	NaN
cg1787	0.01	NaN
cg1789	0.01	NaN
cg1790	0.01	NaN
cg1791	0.01	NaN
cg1792	0.01	NaN
cg1793	0.01	NaN
cg1794	0.01	NaN
cg1795	0.01	NaN
cg1796	0.01	NaN
cg1797	0.01	NaN
cg1798	0.01	NaN
cg1799	0.01	NaN
cg1800	0.01	NaN
cg1801	0.01	NaN
cg1802	0.01	NaN
cg1803	0.01	NaN
cg1804	0.01	NaN
cg1805	0.01	NaN
cg1806	0.01	NaN
cg1807	0.01	NaN
cg1808	0.01	NaN
cg1809	0.01	NaN
cg1810	0.01	NaN
cg1811	0.01	NaN
cg1812	0.01	NaN
cg1813	0.01	NaN
cg1814	0.01	NaN
cg1815	0.01	NaN
cg1816	0.01	NaN
cg1817	0.01	NaN
cg1819	0.01	NaN
cg1821	0.01	NaN
cg1822	0.01	NaN
cg1823	0.01	NaN
cg1824	0.01	NaN
cg1825	0.01	NaN
cg1826	0.01	NaN
cg1827	0.01	NaN
cg1828	0.01	NaN
cg1829	0.01	NaN
cg1830	0.01	NaN
cg1831	0.01	NaN
cg1832	0.01	NaN
cg1833	0.01	NaN
cg1834	0.01	NaN
cg1835	0.01	NaN
cg1836	0.01	NaN
cg1837	0.01	NaN
cg1838	0.01	NaN
cg1839	0.01	NaN
cg1840	0.01	NaN
cg1841	0.01	NaN
cg1842	0.01	NaN
cg1843	0.01	NaN
cg1844	0.01	NaN
cg1845	0.01	NaN
cg1846	0.01	NaN
cg1847	0.01	NaN
cg1848	0.01	NaN
cg1849	0.01	NaN
cg1850	0.01	NaN
cg1852	0.01	NaN
cg1853	0.01	NaN
cg1855	0.01	NaN
cg1856	0.01	NaN
cg1857	0.01	NaN
cg1859	0.01	NaN
cg1860	0.01	NaN
cg1861	0.01	NaN
cg1862	0.01	NaN
cg1864	0.01	NaN
cg1865	0.01	NaN
cg1867	0.01	NaN
cg1868	0.01	NaN
cg1869	0.01	NaN
cg1870	0.01	NaN
cg1871	0.01	NaN
cg1872	0.01	NaN
cg1873	0.01	NaN
cg1874	0.01	NaN
cg1875	0.01	NaN
cg1876	0.01	NaN
cg1877	0.01	NaN
cg1878	0.01	NaN
cg1879	0.01	NaN
cg1880	0.01	NaN
cg1881	0.01	NaN
cg1883	0.01	NaN
cg1884	0.01	NaN
cg1890	0.01	NaN
cg1891	0.01	NaN
cg1892	0.01	NaN
cg1893	0.01	NaN
cg1894	0.01	NaN
cg1895	0.01	NaN
cg1896	0.01	NaN
cg1897	0.01	NaN
cg1898	0.01	NaN
cg1899	0.01	NaN
cg1900	0.01	NaN
cg1901	0.01	NaN
cg1902	0.01	NaN
cg1903	0.01	NaN
cg1904	0.01	NaN
cg1905	0.01	NaN
cg1906	0.01	NaN
cg1907	0.01	NaN
cg1908	0.01	NaN
cg1909	0.01	NaN
cg1910	0.01	NaN
cg1911	0.01	NaN
cg1912	0.01	NaN
cg1913	0.01	NaN
cg1914	0.01	NaN
cg1915	0.01	NaN
cg1916	0.01	NaN
cg1917	0.01	NaN
cg1918	0.01	NaN
cg1919	0.01	NaN
cg1920	0.01	NaN
cg1921	0.01	NaN
cg1922	0.01	NaN
cg1923	0.01	NaN
cg1924	0.01	NaN
cg1925	0.01	NaN
cg1926	0.01	NaN
cg1927	0.01	NaN
cg1928	0.01	NaN
cg1929	0.01	NaN
cg1930	0.01	NaN
cg1931	0.01	NaN
cg1932	0.01	NaN
cg1934	0.01	NaN
cg1935	0.01	NaN
cg1936	0.01	NaN
cg1937	0.01	NaN
cg1938	0.01	NaN
cg1940	0.01	NaN
cg1941	0.01	NaN
cg1942	0.01	NaN
cg1943	0.01	NaN
cg1944	0.01	NaN
cg1945	0.01	NaN
cg1946	0.01	NaN
cg1947	0.01	NaN
cg1948	0.01	NaN
cg1949	0.01	NaN
cg1950	0.01	NaN
cg1951	0.01	NaN
cg1954	0.01	NaN
cg1955	0.01	NaN
cg1956	0.01	NaN
cg1957	0.01	NaN
cg1959	0.01	NaN
cg1960	0.01	NaN
cg1961	0.01	NaN
cg1962	0.01	NaN
cg1963	0.01	NaN
cg1964	0.01	NaN
cg1965	0.01	NaN
cg1966	0.01	NaN
cg1967	0.01	NaN
cg1968	0.01	NaN
cg1969	0.01	NaN
cg1970	0.01	NaN
cg1971	0.01	NaN
cg1972	0.01	NaN
cg1974	0.01	NaN
cg1975	0.01	NaN
cg1976	0.01	NaN
cg1977	0.01	NaN
cg1978	0.01	NaN
cg1980	0.01	NaN
cg1981	0.01	NaN
cg1982	0.01	NaN
cg1983	0.01	NaN
cg1984	0.01	NaN
cg1985	0.01	NaN
cg1986	0.01	NaN
cg1987	0.01	NaN
cg1988	0.01	NaN
cg1989	0.01	NaN
cg1990	0.01	NaN
cg1991	0.01	NaN
cg1992	0.01	NaN
cg1993	0.01	NaN
cg1994	0.01	NaN
cg1995	0.01	NaN
cg1996	0.01	NaN
cg1997	0.01	NaN
cg1998	0.01	NaN
cg1999	0.01	NaN
cg2000	0.01	NaN
cg2001	0.01	NaN
cg2002	0.01	NaN
cg2003	0.01	NaN
cg2004	0.01	NaN
cg2005	0.01	NaN
cg2006	0.01	NaN
cg2007	0.01	NaN
cg2008	0.01	NaN
cg2009	0.01	NaN
cg2010	0.01	NaN
cg2011	0.01	NaN
cg2012	0.01	NaN
cg2014	0.01	NaN
cg2015	0.01	NaN
cg2016	0.01	NaN
cg2017	0.01	NaN
cg2018	0.01	NaN
cg2019	0.01	NaN
cg2020	0.01	NaN
cg2021	0.01	NaN
cg2022	0.01	NaN
cg2023	0.01	NaN
cg2024	0.01	NaN
cg2025	0.01	NaN
cg2026	0.01	NaN
cg2027	0.01	NaN
cg2028	0.01	NaN
cg2029	0.01	NaN
cg2030	0.01	NaN
cg2031	0.01	NaN
cg2032	0.01	NaN
cg2033	0.01	NaN
cg2034	0.01	NaN
cg2035	0.01	NaN
cg2036	0.01	NaN
cg2037	0.01	NaN
cg2038	0.01	NaN
cg2039	0.01	NaN
cg2040	0.01	NaN
cg2041	0.01	NaN
cg2042	0.01	NaN
cg2043	0.01	NaN
cg2044	0.01	NaN
cg2045	0.01	NaN
cg2046	0.01	NaN
cg2047	0.01	NaN
cg2048	0.01	NaN
cg2049	0.01	NaN
cg2050	0.01	NaN
cg2051	0.01	NaN
cg2052	0.01	NaN
cg2053	0.01	NaN
cg2054	0.01	NaN
cg2055	0.01	NaN
cg2056	0.01	NaN
cg2057	0.01	NaN
cg2058	0.01	NaN
cg2059	0.01	NaN
cg4007	0.01	NaN
cg2060	0.01	NaN
cg2061	0.01	NaN
cg2062	0.01	NaN
cg2063	0.01	NaN
cg2064	0.01	NaN
cg2065	0.01	NaN
cg2066	0.01	NaN
cg2067	0.01	NaN
cg2068	0.01	NaN
cg2069	0.01	NaN
cg2070	0.01	NaN
cg2071	0.01	NaN
cg2072	0.01	NaN
cg2073	0.01	NaN
cg2074	0.01	NaN
cg2075	0.01	NaN
cg2076	0.01	NaN
cg2077	0.01	NaN
cg2078	0.01	NaN
cg2079	0.01	NaN
cg2080	0.01	NaN
cg2081	0.01	NaN
cg2083	0.01	NaN
cg2084	0.01	NaN
cg2085	0.01	NaN
cg2086	0.01	NaN
cg2087	0.01	NaN
cg2088	0.01	NaN
cg2089	0.01	NaN
cg2090	0.01	NaN
cg2091	0.01	NaN
cg2092	0.79	U28379.1
cg2094	0.01	NaN
cg2095	0.01	NaN
cg2096	0.01	NaN
cg2097	0.01	NaN
cg2098	0.01	NaN
cg2099	0.01	NaN
cg2100	0.01	NaN
cg2101	0.01	NaN
cg2102	0.88	U28379.1
cg2103	0.01	NaN
cg2104	0.01	NaN
cg2105	0.01	NaN
cg2106	0.01	NaN
cg2107	0.01	NaN
cg2109	0.01	NaN
cg2110	0.01	NaN
cg2111	0.01	NaN
cg2112	0.01	NaN
cg2113	0.01	NaN
cg2114	0.01	NaN
cg2115	0.01	NaN
cg2116	0.01	NaN
cg2117	0.01	NaN
cg2118	0.01	NaN
cg2119	0.01	NaN
cg2120	0.01	NaN
cg2121	0.01	NaN
cg2124	0.01	NaN
cg2125	0.01	NaN
cg2126	0.01	NaN
cg2127	0.01	NaN
cg2128	0.01	NaN
cg2129	0.01	NaN
cg2130	0.01	NaN
cg2131	0.01	NaN
cg2132	0.01	NaN
cg2133	0.01	NaN
cg2134	0.01	NaN
cg2135	0.01	NaN
cg2136	0.01	NaN
cg2137	0.01	NaN
cg2138	0.01	NaN
cg2139	0.01	NaN
cg2140	0.01	NaN
cg2141	0.01	NaN
cg2145	0.01	NaN
cg2146	0.01	NaN
cg2147	0.01	NaN
cg2148	0.01	NaN
cg2149	0.01	NaN
cg2151	0.01	NaN
cg2152	0.01	NaN
cg2153	0.01	NaN
cg2154	0.01	NaN
cg2155	0.01	NaN
cg2156	0.01	NaN
cg2157	0.01	NaN
cg2158	0.01	NaN
cg2159	0.01	NaN
cg2160	0.01	NaN
cg2161	0.01	NaN
cg2162	0.01	NaN
cg2163	0.01	NaN
cg2165	0.01	NaN
cg2166	0.01	NaN
cg2167	0.01	NaN
cg2168	0.01	NaN
cg2169	0.01	NaN
cg2170	0.01	NaN
cg2171	0.01	NaN
cg2172	0.01	NaN
cg2173	0.01	NaN
cg2174	0.01	NaN
cg2175	0.01	NaN
cg2176	0.01	NaN
cg2177	0.01	NaN
cg2178	0.01	NaN
cg2179	0.01	NaN
cg2180	0.01	NaN
cg2181	0.01	NaN
cg2182	0.01	NaN
cg2183	0.01	NaN
cg2184	0.01	NaN
cg2185	0.01	NaN
cg2186	0.01	NaN
cg2187	0.01	NaN
cg2188	0.01	NaN
cg2189	0.01	NaN
cg2190	0.01	NaN
cg2191	0.01	NaN
cg2192	0.01	NaN
cg2193	0.01	NaN
cg2194	0.01	NaN
cg2195	0.01	NaN
cg2196	0.01	NaN
cg2197	0.01	NaN
cg2198	0.01	NaN
cg2199	0.01	NaN
cg2200	0.01	NaN
cg2201	0.01	NaN
cg2202	0.01	NaN
cg2204	0.01	NaN
cg2206	0.01	NaN
cg2207	0.01	NaN
cg2208	0.01	NaN
cg2211	0.01	NaN
cg2212	0.01	NaN
cg2213	0.01	NaN
cg2214	0.01	NaN
cg2215	0.01	NaN
cg2216	0.01	NaN
cg2217	0.01	NaN
cg2218	0.01	NaN
cg2221	0.01	NaN
cg2222	0.01	NaN
cg2223	0.01	NaN
cg2224	0.01	NaN
cg2226	0.01	NaN
cg2227	0.01	NaN
cg2228	0.01	NaN
cg2229	0.01	NaN
cg2230	0.01	NaN
cg2232	0.01	NaN
cg2234	0.01	NaN
cg2235	0.01	NaN
cg2236	0.01	NaN
cg2237	0.01	NaN
cg2238	0.01	NaN
cg2239	0.01	NaN
cg2240	0.01	NaN
cg2241	0.01	NaN
cg2242	0.01	NaN
cg2243	0.01	NaN
cg2244	0.01	NaN
cg2247	0.01	NaN
cg2248	0.01	NaN
cg2249	0.01	NaN
cg2250	0.01	NaN
cg2251	0.01	NaN
cg2252	0.01	NaN
cg2253	0.01	NaN
cg2254	0.01	NaN
cg2255	0.01	NaN
cg2256	0.01	NaN
cg2257	0.01	NaN
cg2258	0.01	NaN
cg2260	0.01	NaN
cg2261	0.01	NaN
cg2262	0.01	NaN
cg2263	0.01	NaN
cg2265	0.01	NaN
cg2266	0.01	NaN
cg2267	0.01	NaN
cg2268	0.01	NaN
cg2269	0.01	NaN
cg2270	0.01	NaN
cg2271	0.01	NaN
cg2272	0.01	NaN
cg2273	0.01	NaN
cg2274	0.01	NaN
cg2275	0.01	NaN
cg2277	0.01	NaN
cg2279	0.01	NaN
cg2280	0.01	NaN
cg2282	0.01	NaN
cg2283	0.01	NaN
cg2284	0.01	NaN
cg2285	0.01	NaN
cg2286	0.01	NaN
cg2287	0.01	NaN
cg2288	0.01	NaN
cg2289	0.01	NaN
cg2290	0.01	NaN
cg2291	0.01	NaN
cg2292	0.01	NaN
cg2293	0.01	NaN
cg2294	0.01	NaN
cg2296	0.01	NaN
cg2297	0.01	NaN
cg2298	0.01	NaN
cg2299	0.01	NaN
cg2300	0.01	NaN
cg2301	0.01	NaN
cg2302	0.01	NaN
cg2303	0.01	NaN
cg2304	0.01	NaN
cg2305	0.01	NaN
cg2306	0.01	NaN
cg2307	0.01	NaN
cg2308	0.01	NaN
cg2309	0.01	NaN
cg2310	0.01	NaN
cg2311	0.01	NaN
cg2312	0.01	NaN
cg2313	0.01	NaN
cg2314	0.01	NaN
cg2315	0.01	NaN
cg2317	0.01	NaN
cg2318	0.01	NaN
cg2320	0.01	NaN
cg2321	0.01	NaN
cg2322	0.01	NaN
cg2323	0.01	NaN
cg2324	0.01	NaN
cg2325	0.01	NaN
cg2326	0.01	NaN
cg2328	0.01	NaN
cg2329	0.01	NaN
cg2330	0.01	NaN
cg2331	0.01	NaN
cg2332	0.01	NaN
cg2333	0.01	NaN
cg2334	0.01	NaN
cg2336	0.01	NaN
cg2337	0.01	NaN
cg2338	0.01	NaN
cg2339	0.01	NaN
cg2340	0.01	NaN
cg2341	0.01	NaN
cg2342	0.01	NaN
cg2343	0.01	NaN
cg2344	0.01	NaN
cg2345	0.01	NaN
cg2346	0.01	NaN
cg2347	0.01	NaN
cg2348	0.01	NaN
cg2349	0.01	NaN
cg2350	0.01	NaN
cg2351	0.01	NaN
cg2352	0.01	NaN
cg2353	0.01	NaN
cg2354	0.01	NaN
cg2355	0.01	NaN
cg2356	0.01	NaN
cg2357	0.01	NaN
cg2358	0.01	NaN
cg2359	0.01	NaN
cg2360	0.01	NaN
cg2361	0.01	NaN
cg2362	0.01	NaN
cg2363	0.01	NaN
cg2364	0.01	NaN
cg2365	0.01	NaN
cg2366	0.01	NaN
cg2367	0.01	NaN
cg2368	0.01	NaN
cg2369	0.01	NaN
cg2370	0.01	NaN
cg2371	0.01	NaN
cg2372	0.01	NaN
cg2373	0.01	NaN
cg2374	0.01	NaN
cg2375	0.01	NaN
cg2376	0.01	NaN
cg2377	0.01	NaN
cg2378	0.01	NaN
cg2379	0.01	NaN
cg2380	0.01	NaN
cg2381	0.01	NaN
cg2382	0.01	NaN
cg2383	0.01	NaN
cg2384	0.01	NaN
cg2385	0.01	NaN
cg2386	0.01	NaN
cg2388	0.01	NaN
cg2389	0.01	NaN
cg2390	0.01	NaN
cg2391	0.01	NaN
cg2392	0.01	NaN
cg2393	0.01	NaN
cg2394	0.01	NaN
cg2395	0.01	NaN
cg2397	0.01	NaN
cg2398	0.01	NaN
cg2399	0.01	NaN
cg2400	0.01	NaN
cg2401	0.01	NaN
cg2402	0.01	NaN
cg2403	0.01	NaN
cg2404	0.01	NaN
cg2405	0.01	NaN
cg2406	0.01	NaN
cg2407	0.01	NaN
cg2408	0.01	NaN
cg2409	0.01	NaN
cg2410	0.01	NaN
cg2411	0.01	NaN
cg2412	0.01	NaN
cg2413	0.01	NaN
cg2414	0.01	NaN
