Reaction ID,Name,Equation,Lower Bound,Upper Bound
FACOAL180t2pp,fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c,0.0,1000.0
FACOAL181t2pp,fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + ocdcea_e --> amp_c + h_c + odecoa_c + ppi_c,0.0,1000.0
FACOAL60t2pp,fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + hxa_e --> amp_c + h_c + hxcoa_c + ppi_c,0.0,1000.0
FACOAL80t2pp,fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c,0.0,1000.0
G1PACT,glucosamine-1-phosphate N-acetyltransferase,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,0.0,1000.0
GF6PTA,glutamine-fructose-6-phosphate transaminase,f6p_c + gln__L_c --> gam6p_c + glu__L_c,0.0,1000.0
GLUR,glutamate racemase,glu__D_c <=> glu__L_c,-1000.0,1000.0
INPTH,inositol-3-phosphate synthase,g6p_c --> mi1p__D_c,0.0,1000.0
MI1PP,myo-inositol 1-phosphatase,h2o_c + mi1p__D_c --> inost_c + pi_c,0.0,1000.0
PGAMT,phosphoglucosamine mutase,gam1p_c <=> gam6p_c,-1000.0,1000.0
PIM,PIM,pit_c --> pim_c,0.0,1000.0
PIT,PIT,cdpdag_c --> pit_c,0.0,1000.0
T2DECAI,trans-2-decenoyl-ACP isomerase,tdec2eACP_c <=> cdec3eACP_c,-1000.0,1000.0
TDPGDH,"dTDPglucose 4,6-dehydratase",dtdpglu_c --> dtdp4d6dg_c + h2o_c,0.0,1000.0
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,0.0,1000.0
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,pep_c + uacgam_c --> pi_c + uaccg_c,0.0,1000.0
UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,0.0,1000.0
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,0.0,1000.0
UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,0.0,1000.0
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,0.0,1000.0
UAMDH,UDP-N-acetylmuramate dehydrogenase,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,0.0,1000.0
UDCPDP,undecaprenyl-diphosphatase,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,0.0,1000.0
UDPGALM,UDPgalactopyranose mutase,udpgal_c --> udpgalfur_c,0.0,1000.0
UDPGD,UDPglucose 6-dehydrogenase,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,0.0,1000.0
UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,0.0,1000.0
3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,0.0,1000.0
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,0.0,1000.0
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,0.0,1000.0
3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,0.0,1000.0
G1PTT,glucose-1-phosphate thymidylyltransferase,dttp_c + g1p_c + h_c <=> dtdpglu_c + ppi_c,-1000.0,1000.0
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),g1p_c + h_c + utp_c <=> ppi_c + udpg_c,-1000.0,1000.0
PAPPT3,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",udcpp_c + ugmda_c <=> uagmda_c + ump_c,-1000.0,1000.0
ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <=> acon_C_c + h2o_c,-1000.0,1000.0
ACONTb,"aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <=> icit_c,-1000.0,1000.0
AKGDH,2-Oxoglutarate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,0.0,1000.0
CITL,Citrate lyase,cit_c --> ac_c + oaa_c,0.0,1000.0
CS,citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,0.0,1000.0
FRD2,fumarate reductase,fum_c + mql8_c --> mqn8_c + succ_c,0.0,1000.0
FRD3,fumarate reductase,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,0.0,1000.0
FUM,fumarase,fum_c + h2o_c <=> mal__L_c,-1000.0,1000.0
ICDHyr,isocitrate dehydrogenase (NADP),icit_c + nadp_c --> akg_c + co2_c + nadph_c,0.0,1000.0
MDH,malate dehydrogenase,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,-1000.0,1000.0
MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),mal__L_c + q8_c --> oaa_c + q8h2_c,0.0,1000.0
MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),mal__L_c + mqn8_c --> mql8_c + oaa_c,0.0,1000.0
PYRC,pyruvate carboxylase,atp_c + hco3_c + pyr_c <=> adp_c + h_c + oaa_c + pi_c,-1000.0,1000.0
SUCOAS,succinyl-CoA synthetase (ADP-forming),adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,0.0,1000.0
2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,0.0,1000.0
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c,0.0,1000.0
ACPS1,acyl-carrier protein synthase,BSU15920-MONOMER + coa_c --> BSU15920-MONOMER_mod_pan4p + h_c + pap_c,0.0,1000.0
ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.0,1000.0
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.0,1000.0
ADOCBIK,Adenosyl cobinamide kinase,adocbi_c + atp_c --> adocbip_c + adp_c + h_c,0.0,1000.0
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c,0.0,1000.0
ALATA_D2,D-alanine transaminase,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,0.0,1000.0
ALATA_L2,alanine transaminase,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,0.0,1000.0
AMAOTr,adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <=> amob_c + dann_c,-1000.0,1000.0
AMMQLT8,S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8),2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c,0.0,1000.0
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,0.0,1000.0
ASP1DC,aspartate 1-decarboxylase,asp__L_c + h_c --> ala_B_c + co2_c,0.0,1000.0
ASPO5,L-aspartate oxidase,asp__L_c + fum_c --> h_c + iasp_c + succ_c,0.0,1000.0
BMOCOS,bis-molybdenum cofactor synthase,moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c,0.0,1000.0
BTS4,Biotin synthase,amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c,0.0,1000.0
BWCOS,tungsten bispterin cofactor synthase,mptamp_c + wco_c --> amp_c + bwco_c + cu2_c,0.0,1000.0
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,0.0,1000.0
CPMPS,cyclic pyranopterin monophosphate synthase,gtp_c + h2o_c --> cpmp_c + ppi_c,0.0,1000.0
CPPPGO,coproporphyrinogen oxidase (O2 required),cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,0.0,1000.0
CPPPGO2,Oxygen Independent coproporphyrinogen-III oxidase,2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c,0.0,1000.0
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c + h_c,0.0,1000.0
DBTS,dethiobiotin synthase,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,0.0,1000.0
DHFR,dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,-1000.0,1000.0
DHFS,dihydrofolate synthase,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,0.0,1000.0
DHNCOAS,"1,4-dihydroxy-2-napthoyl-CoA synthase",h_c + sbzcoa_c --> 14dhncoa_c + h2o_c,0.0,1000.0
DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",14dhncoa_c + h2o_c --> coa_c + dhna_c + h_c,0.0,1000.0
DHPPDA2,diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,0.0,1000.0
DHPS2,dihydropteroate synthase,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,0.0,1000.0
DHPTPE,dihydroneopterin triphosphate 2'-epimerase,ahdt_c <=> dhmptp_c,-1000.0,1000.0
DMATT,dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,0.0,1000.0
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,0.0,1000.0
DPCOAK,dephospho-CoA kinase,atp_c + dpcoa_c --> adp_c + coa_c + h_c,0.0,1000.0
DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,0.0,1000.0
DXPRIi,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,0.0,1000.0
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,0.0,1000.0
FCLT,Ferrochelatase,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,0.0,1000.0
FMNAT,FMN adenylyltransferase,atp_c + fmn_c + h_c --> fad_c + ppi_c,0.0,1000.0
G1SAT,glutamate-1-semialdehyde aminotransferase,glu1sa_c <=> 5aop_c,-1000.0,1000.0
GDPDPK,GDP diphosphokinase,atp_c + gdp_c --> amp_c + h_c + ppgpp_c,0.0,1000.0
GDPTPDP,guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,gdptp_c + h2o_c --> gtp_c + ppi_c,0.0,1000.0
GLUCYS,gamma-glutamylcysteine synthetase,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,0.0,1000.0
GLYOD,glycolate oxidase,glyclt_c + o2_c --> glx_c + h2o2_c,0.0,1000.0
GRTT,geranyltranstransferase,grdp_c + ipdp_c --> frdp_c + ppi_c,0.0,1000.0
GTHOr,glutathione oxidoreductase,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,-1000.0,1000.0
GTHRDHpp,glutathione hydralase,gthrd_c + h2o_c --> cgly_c + glu__L_c,0.0,1000.0
GTPCI,GTP cyclohydrolase I,gtp_c + h2o_c --> ahdt_c + for_c + h_c,0.0,1000.0
GTPDPDP,"guanosine-5'-triphosphate,3'-diphosphate diphosphatase",gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,0.0,1000.0
GTPDPK,GTP diphosphokinase,atp_c + gtp_c --> amp_c + gdptp_c + h_c,0.0,1000.0
HETZK,hydroxyethylthiazole kinase,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,0.0,1000.0
HMBS,hydroxymethylbilane synthase,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,0.0,1000.0
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,0.0,1000.0
ICHORS,isochorismate synthase,chor_c <=> ichor_c,-1000.0,1000.0
IPDDI,isopentenyl-diphosphate D-isomerase,ipdp_c <=> dmpp_c,-1000.0,1000.0
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,0.0,1000.0
LIPAMPL,Lipoyl-adenylate protein ligase,lipoamp_c --> amp_c + lipopb_c,0.0,1000.0
LIPATPT,Lipoate-ATP adenylate transferase,atp_c + lipoate_c --> lipoamp_c + ppi_c,0.0,1000.0
LIPOCT,Lipoyl(octanoyl) transferase,h_c + ocACP_c --> BSU15920-MONOMER_mod_pan4p + octapb_c,0.0,1000.0
LIPOS,Lipoate synthase,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,0.0,1000.0
MECDPDH2,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c,0.0,1000.0
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c --> 2mecdp_c + cmp_c,0.0,1000.0
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,0.0,1000.0
MOCOS,molybdenum cofactor synthase,2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c,0.0,1000.0
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,0.0,1000.0
MPTAT,molybdopterin adenylyltransferase,atp_c + h_c + mpt_c --> mptamp_c + ppi_c,0.0,1000.0
MPTS,molybdopterin synthase,cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c,0.0,1000.0
MPTSS,molybdopterin synthase sulfurylase,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,0.0,1000.0
MSDHD,malonate-semialdehyde dehydrogenase,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,0.0,1000.0
NADDP,NAD diphosphatase,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,0.0,1000.0
NADK,NAD kinase,atp_c + nad_c --> adp_c + h_c + nadp_c,0.0,1000.0
NADPPPS,NADP phosphatase,h2o_c + nadp_c --> nad_c + pi_c,0.0,1000.0
NADS1,NAD synthase (nh3),atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,0.0,1000.0
NNAM,nicotinamidase,h2o_c + ncam_c --> nac_c + nh4_c,0.0,1000.0
NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,0.0,1000.0
NNDPR,nicotinate-nucleotide diphosphorylase (carboxylating),2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,0.0,1000.0
NPHS,naphthoate synthase,sbzcoa_c --> coa_c + dhna_c,0.0,1000.0
OCTDPS,Octaprenyl pyrophosphate synthase,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,0.0,1000.0
OCTNLL,Octanoate non-lipoylated apo domain ligase,atp_c + h_c + octa_c --> amp_c + octapb_c + ppi_c,0.0,1000.0
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,glu__L_c + ohpb_c <=> akg_c + phthr_c,-1000.0,1000.0
OMBZLM,2-Octaprenyl-6-methoxy-benzoquinol methylase,2ombzl_c + amet_c --> 2ommbl_c + ahcys_c + h_c,0.0,1000.0
PANTS,pantothenate synthase,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,0.0,1000.0
PMPK,phosphomethylpyrimidine kinase,4ampm_c + atp_c --> 2mahmp_c + adp_c,0.0,1000.0
PNTK,pantothenate kinase,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,0.0,1000.0
PPBNGS,porphobilinogen synthase,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,0.0,1000.0
PPCDC,phosphopantothenoylcysteine decarboxylase,4ppcys_c + h_c --> co2_c + pan4p_c,0.0,1000.0
PPGPPDP,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",h2o_c + ppgpp_c --> gdp_c + ppi_c,0.0,1000.0
PPNCL2,phosphopantothenate-cysteine ligase,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,0.0,1000.0
PPPGO,protoporphyrinogen oxidase (aerobic),1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c,0.0,1000.0
PPPGO3,protoporphyrinogen oxidase (anaerobic),3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,0.0,1000.0
PTPATi,pantetheine-phosphate adenylyltransferase,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,0.0,1000.0
PY5PSH,pyridoxal 5'-phosphate synthase,g3p_c + gln__L_c + r5p_c <=> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,-1000.0,1000.0
PYDAMK,pyridoxamine kinase,atp_c + pydam_c --> adp_c + h_c + pyam5p_c,0.0,1000.0
PYDXK,pyridoxal kinase,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,0.0,1000.0
PYDXNK,pyridoxine kinase,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,0.0,1000.0
QULNS,quinolinate synthase,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,0.0,1000.0
RBFSa,riboflavin synthase,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,0.0,1000.0
RBFSb,riboflavin synthase,2.0 dmlz_c --> 4r5au_c + ribflv_c,0.0,1000.0
RZ5PP,alpha-ribazole 5-phosphate phosphatase,5prdmbz_c + h2o_c --> pi_c + rdmbzi_c,0.0,1000.0
SEPHCHCS,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,akg_c + h_c + ichor_c --> 2sephchc_c + co2_c,0.0,1000.0
SUCBZL,o-succinylbenzoate-CoA ligase,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c,0.0,1000.0
TDPDSH,"dTDP-4-dehydrorhamnose 3,5-epimerase",dtdp4d6dg_c --> dtdp4d6dm_c,0.0,1000.0
TMPK,thiamine-phosphate kinase,atp_c + thmmp_c --> adp_c + thmpp_c,0.0,1000.0
TMPPP,thiamine-phosphate diphosphorylase,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,0.0,1000.0
TRATF,taurine aminotransferase,akg_c + tau_c <=> 2saa_c + glu__L_c,-1000.0,1000.0
TYRL,tyrosine lyase,amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c,0.0,1000.0
UDCPDPS,Undecaprenyl diphosphate synthase,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,0.0,1000.0
UPP3MT,uroporphyrinogen methyltransferase,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscL_c + h_c,0.0,1000.0
UPP3S,uroporphyrinogen-III synthase,hmbil_c --> h2o_c + uppg3_c,0.0,1000.0
UPPDC1,uroporphyrinogen decarboxylase (uroporphyrinogen III),4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,0.0,1000.0
WCOS,tungsten pterin cofactor synthase,2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c,0.0,1000.0
NAMNPP,nicotinic acid mononucleotide pyrophosphorylase,atp_c + h2o_c + nac_c + prpp_c <=> adp_c + nicrnt_c + pi_c + ppi_c,-1000.0,1000.0
RBFK,riboflavin kinase,atp_c + ribflv_c <=> adp_c + fmn_c + h_c,-1000.0,1000.0
ADSK,adenylyl-sulfate kinase,aps_c + atp_c --> adp_c + h_c + paps_c,0.0,1000.0
AMPTASECG,alanyl aminopeptidase (cys-gly),cgly_c + h2o_c --> cys__L_c + gly_c,0.0,1000.0
BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c --> amp_c + pi_c,0.0,1000.0
CYSS,cysteine synthase,acser_c + h2s_c --> ac_c + cys__L_c + h_c,0.0,1000.0
MCPST,3-mercaptopyruvate sulfurtransferase,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c,0.0,1000.0
PAPSR,phosphoadenylyl-sulfate reductase (thioredoxin),BSU28500-MONOMER + paps_c --> BSU28500-MONOMER_mod_Oxidized + 2.0 h_c + pap_c + so3_c,0.0,1000.0
PAPSR2,phosphoadenylyl-sulfate reductase (glutaredoxin),grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,0.0,1000.0
SADT2,Sulfate adenyltransferase,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,0.0,1000.0
SERAT,serine O-acetyltransferase,accoa_c + ser__L_c <=> acser_c + coa_c,-1000.0,1000.0
SULRi,sulfite reductase (NADPH2),5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,0.0,1000.0
EX_26dap__M_e,"meso-2,6-Diaminoheptanedioate exchange",26dap__M_e --> ,0.0,1000.0
EX_3amp_e,3'-AMP exchange,3amp_e --> ,0.0,1000.0
EX_3cmp_e,3'-cmp exchange,3cmp_e --> ,0.0,1000.0
EX_3gmp_e,3'-GMP exchange,3gmp_e --> ,0.0,1000.0
EX_3ump_e,3'-UMP exchange,3ump_e --> ,0.0,1000.0
EX_4abut_e,4-Aminobutanoate exchange,4abut_e --> ,0.0,1000.0
EX_ac_e,Acetate exchange,ac_e --> ,0.0,1000.0
EX_acald_e,Acetaldehyde exchange,acald_e --> ,0.0,1000.0
EX_acgam_e,N-Acetyl-D-glucosamine exchange,acgam_e --> ,0.0,1000.0
EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate exchange,acgam1p_e --> ,0.0,1000.0
EX_acmana_e,N-Acetyl-D-mannosamine exchange,acmana_e --> ,0.0,1000.0
EX_acser_e,O-Acetyl-L-serine exchange,acser_e --> ,0.0,1000.0
EX_ade_e,Adenine exchange,ade_e --> ,0.0,1000.0
EX_adn_e,Adenosine exchange,adn_e --> ,0.0,1000.0
EX_akg_e,2-Oxoglutarate exchange,akg_e --> ,0.0,1000.0
EX_ala_L_e,L-Alanine exchange,ala__L_e --> ,0.0,1000.0
EX_alaala_e,D-Alanyl-D-alanine exchange,alaala_e --> ,0.0,1000.0
EX_ala_B_e,beta-Alanine exchange,ala_B_e --> ,0.0,1000.0
EX_ala__D_e,D-Alanine exchange,ala__D_e --> ,0.0,1000.0
EX_amp_e,AMP exchange,amp_e --> ,0.0,1000.0
EX_arg_L_e,L-Arginine exchange,arg__L_e --> ,0.0,1000.0
EX_asn_L_e,L-Asparagine exchange,asn__L_e --> ,0.0,1000.0
EX_asp_L_e,L-Aspartate exchange,asp__L_e --> ,0.0,1000.0
EX_ca2_e,Calcium exchange,ca2_e <=> ,-1000.0,1000.0
EX_cgly_e,Cys-Gly exchange,cgly_e --> ,0.0,1000.0
EX_cit_e,Citrate exchange,cit_e --> ,0.0,1000.0
EX_cmp_e,CMP exchange,cmp_e --> ,0.0,1000.0
EX_co2_e,CO2 exchange,co2_e <=> ,-1000.0,1000.0
EX_cobalt2_e,Co2+ exchange,cobalt2_e <=> ,-1000.0,1000.0
EX_cu_e,Cu+ exchange,cu_e --> ,0.0,1000.0
EX_cu2_e,Cu2+ exchange,cu2_e <=> ,-1000.0,1000.0
EX_cyan_e,Hydrogen cyanide exchange,cyan_e --> ,0.0,1000.0
EX_cys_L_e,L-Cysteine exchange,cys__L_e --> ,0.0,1000.0
EX_cytd_e,Cytidine exchange,cytd_e --> ,0.0,1000.0
EX_dad_2_e,Deoxyadenosine exchange,dad_2_e --> ,0.0,1000.0
EX_damp_e,dAMP exchange,damp_e --> ,0.0,1000.0
EX_dcmp_e,dCMP exchange,dcmp_e --> ,0.0,1000.0
EX_dcyt_e,Deoxycytidine exchange,dcyt_e --> ,0.0,1000.0
EX_dgmp_e,dGMP exchange,dgmp_e --> ,0.0,1000.0
EX_dgsn_e,Deoxyguanosine exchange,dgsn_e --> ,0.0,1000.0
EX_dha_e,Dihydroxyacetone exchange,dha_e --> ,0.0,1000.0
EX_dimp_e,dIMP exchange,dimp_e --> ,0.0,1000.0
EX_din_e,Deoxyinosine exchange,din_e --> ,0.0,1000.0
EX_dms_e,Dimethyl sulfide exchange,dms_e --> ,0.0,1000.0
EX_dmso_e,Dimethyl sulfoxide exchange,dmso_e --> ,0.0,1000.0
EX_dtmp_e,dTMP exchange,dtmp_e --> ,0.0,1000.0
EX_dump_e,dUMP exchange,dump_e --> ,0.0,1000.0
EX_duri_e,Deoxyuridine exchange,duri_e --> ,0.0,1000.0
EX_etha_e,Ethanolamine exchange,etha_e --> ,0.0,1000.0
EX_etoh_e,Ethanol exchange,etoh_e --> ,0.0,1000.0
EX_f6p_e,D-fructose 6-phosphate exchange,f6p_e --> ,0.0,1000.0
EX_fe2_e,Fe2+ exchange,fe2_e <-- ,-1000.0,0.0
EX_fe3_e,Fe3+ exchange,fe3_e <-- ,-1000.0,0.0
EX_for_e,Formate exchange,for_e --> ,0.0,1000.0
EX_fru_e,D-Fructose exchange,fru_e --> ,0.0,1000.0
EX_fruur_e,D-Fructuronate exchange,fruur_e --> ,0.0,1000.0
EX_fum_e,Fumarate exchange,fum_e --> ,0.0,1000.0
EX_g1p_e,D-Glucose 1-phosphate exchange,g1p_e --> ,0.0,1000.0
EX_g3pe_e,sn-Glycero-3-phosphoethanolamine exchange,g3pe_e --> ,0.0,1000.0
EX_g3pg_e,Glycerophosphoglycerol exchange,g3pg_e --> ,0.0,1000.0
EX_g3pi_e,sn-Glycero-3-phospho-1-inositol exchange,g3pi_e --> ,0.0,1000.0
EX_g3ps_e,Glycerophosphoserine exchange,g3ps_e --> ,0.0,1000.0
EX_g6p_e,D-Glucose 6-phosphate exchange,g6p_e --> ,0.0,1000.0
EX_gal1p_e,alpha-D-Galactose 1-phosphate exchange,gal1p_e --> ,0.0,1000.0
EX_gam_e,D-Glucosamine exchange,gam_e --> ,0.0,1000.0
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,gam6p_e --> ,0.0,1000.0
